datetime,open,high,low,close,volume,vwap
2026-01-07 09:30:00,1.48,1.68,1.09,1.1,8073,1.3945
2026-01-07 09:35:00,1.1,1.33,0.94,0.94,8627,1.1268
2026-01-07 09:40:00,0.94,1.03,0.77,0.77,9789,0.8718
2026-01-07 09:45:00,0.77,0.85,0.65,0.72,4867,0.7279
2026-01-07 09:50:00,0.73,0.81,0.63,0.75,6307,0.7238
2026-01-07 09:55:00,0.75,0.75,0.59,0.74,6399,0.6765
2026-01-07 10:00:00,0.7,1.02,0.67,0.76,21773,0.8817
2026-01-07 10:05:00,0.76,0.83,0.59,0.64,6433,0.6764
2026-01-07 10:10:00,0.64,0.67,0.56,0.62,4433,0.608
2026-01-07 10:15:00,0.62,0.91,0.62,0.76,9283,0.7915
2026-01-07 10:20:00,0.76,0.84,0.56,0.59,2963,0.6772
2026-01-07 10:25:00,0.57,0.72,0.45,0.52,5035,0.5376
2026-01-07 10:30:00,0.51,0.57,0.39,0.4,6337,0.4433
2026-01-07 10:35:00,0.4,1.01,0.32,0.63,10407,0.6099
2026-01-07 10:40:00,0.6,0.7,0.47,0.58,7052,0.5843
2026-01-07 10:45:00,0.57,0.59,0.31,0.34,9128,0.424
2026-01-07 10:50:00,0.34,0.36,0.29,0.31,4571,0.3178
2026-01-07 10:55:00,0.31,0.32,0.27,0.27,2270,0.2918
2026-01-07 11:00:00,0.26,0.28,0.2,0.21,4729,0.2279
2026-01-07 11:05:00,0.2,0.22,0.2,0.21,2640,0.2082
2026-01-07 11:10:00,0.21,0.22,0.19,0.2,1705,0.2036
2026-01-07 11:15:00,0.2,0.21,0.19,0.2,811,0.1967
2026-01-07 11:20:00,0.2,0.24,0.2,0.22,2095,0.2216
2026-01-07 11:25:00,0.23,0.29,0.22,0.23,2393,0.258
2026-01-07 11:30:00,0.23,0.25,0.18,0.2,1805,0.2183
2026-01-07 11:35:00,0.2,0.21,0.18,0.19,938,0.1942
2026-01-07 11:40:00,0.19,0.19,0.1,0.11,6592,0.1378
2026-01-07 11:45:00,0.11,0.12,0.09,0.11,1972,0.1069
2026-01-07 11:50:00,0.11,0.11,0.1,0.11,1444,0.1027
2026-01-07 11:55:00,0.1,0.11,0.09,0.1,2180,0.1026
2026-01-07 12:00:00,0.1,0.1,0.09,0.09,1078,0.0919
2026-01-07 12:05:00,0.09,0.1,0.08,0.09,2082,0.0859
2026-01-07 12:10:00,0.09,0.09,0.08,0.09,395,0.0874
2026-01-07 12:15:00,0.09,0.09,0.08,0.08,1237,0.0873
2026-01-07 12:20:00,0.08,0.09,0.07,0.07,529,0.0785
2026-01-07 12:25:00,0.08,0.08,0.07,0.08,551,0.0721
2026-01-07 12:30:00,0.08,0.08,0.07,0.08,858,0.0787
2026-01-07 12:35:00,0.08,0.08,0.07,0.08,803,0.0739
2026-01-07 12:40:00,0.07,0.08,0.06,0.07,626,0.0645
2026-01-07 12:45:00,0.07,0.07,0.06,0.06,510,0.0669
2026-01-07 12:50:00,0.06,0.08,0.06,0.08,316,0.0728
2026-01-07 12:55:00,0.08,0.08,0.07,0.08,134,0.0713
2026-01-07 13:00:00,0.08,0.09,0.07,0.08,152,0.0761
2026-01-07 13:05:00,0.08,0.08,0.07,0.07,113,0.0759
2026-01-07 13:10:00,0.08,0.09,0.07,0.07,326,0.079
2026-01-07 13:15:00,0.08,0.1,0.08,0.09,354,0.0876
2026-01-07 13:20:00,0.1,0.1,0.08,0.08,390,0.0924
2026-01-07 13:25:00,0.09,0.1,0.08,0.1,1008,0.0983
2026-01-07 13:30:00,0.1,0.1,0.07,0.08,430,0.0854
2026-01-07 13:35:00,0.08,0.08,0.06,0.06,301,0.0658
2026-01-07 13:40:00,0.06,0.06,0.04,0.05,749,0.0509
2026-01-07 13:45:00,0.04,0.05,0.04,0.04,693,0.0438
2026-01-07 13:50:00,0.04,0.05,0.03,0.03,634,0.0349
2026-01-07 13:55:00,0.03,0.05,0.03,0.04,246,0.0414
2026-01-07 14:00:00,0.05,0.05,0.04,0.04,119,0.0417
2026-01-07 14:05:00,0.05,0.06,0.04,0.05,386,0.0537
2026-01-07 14:10:00,0.05,0.12,0.05,0.09,992,0.0927
2026-01-07 14:15:00,0.09,0.16,0.07,0.07,1856,0.1369
2026-01-07 14:20:00,0.07,0.11,0.07,0.09,457,0.1044
2026-01-07 14:25:00,0.1,0.11,0.08,0.09,507,0.1049
2026-01-07 14:30:00,0.08,0.09,0.05,0.05,501,0.0689
2026-01-07 14:35:00,0.06,0.06,0.04,0.05,1709,0.051
2026-01-07 14:40:00,0.04,0.05,0.04,0.04,341,0.0477
2026-01-07 14:45:00,0.05,0.05,0.03,0.04,289,0.0418
2026-01-07 14:50:00,0.04,0.05,0.03,0.04,533,0.0398
2026-01-07 14:55:00,0.04,0.06,0.03,0.04,438,0.0437
2026-01-07 15:00:00,0.04,0.05,0.04,0.04,177,0.0425
2026-01-07 15:05:00,0.04,0.04,0.03,0.03,1130,0.0322
2026-01-07 15:10:00,0.04,0.12,0.03,0.1,2117,0.0918
2026-01-07 15:15:00,0.1,0.15,0.04,0.04,1493,0.1053
2026-01-07 15:20:00,0.04,0.09,0.04,0.08,1133,0.0661
2026-01-07 15:25:00,0.07,0.12,0.06,0.08,2689,0.0959
2026-01-07 15:30:00,0.08,0.15,0.07,0.14,6431,0.1245
2026-01-07 15:35:00,0.14,0.24,0.13,0.2,5875,0.1968
2026-01-07 15:40:00,0.2,0.24,0.07,0.08,1803,0.1319
2026-01-07 15:45:00,0.08,0.09,0.04,0.05,4813,0.0721
2026-01-07 15:50:00,0.04,0.04,0.02,0.02,952,0.0333
2026-01-07 15:55:00,0.03,0.06,0.01,0.02,1901,0.0237
2026-01-07 16:00:00,0.02,0.03,0.01,0.01,984,0.015
2026-01-07 16:05:00,0.02,0.02,0.01,0.02,782,0.0132
2026-01-07 16:10:00,0.02,0.02,0.01,0.01,1015,0.0152